Time_s,Normal_Force_N
1.27836294917304,1798.7877870348
1.27838160154963,1798.79142562264
1.27840025398071,1798.795064287
1.27841890662815,1798.79870304786
1.27843755954444,1798.80234191726
1.27845621266399,1798.80598088704
1.27847486590142,1798.80961994212
1.27849351916543,1798.81325906519
1.27851217286769,1798.81689831841
1.27853082660458,1798.82053764926
1.27854948052837,1798.82417707214
1.27856813464342,1798.82781659043
1.27858678901567,1798.83145621523
1.27860544351019,1798.83509592717
1.27862409832446,1798.83873575402
1.27864275292321,1798.84237561594
1.27866140804155,1798.84601561482
1.2786800631716,1798.84965568896
1.27869871850295,1798.85329585699
1.27871737407511,1798.85693612865
1.27873602982596,1798.8605764959
1.27875468568426,1798.86421694593
1.27877334169945,1798.86785748419
1.27879199795619,1798.87149812516
1.2788106543175,1798.87513884978
1.27882931095043,1798.87877968103
1.27884796775659,1798.88242060756
1.27886662482975,1798.88606164216
1.27888528201953,1798.88970276333
1.27890393937107,1798.89334397423
1.27892259672855,1798.8969852507
1.27894125444146,1798.90062664376
1.27895991214709,1798.9042681053
1.27897857012238,1798.90790967034
1.27899722826762,1798.91155132958
1.27901588665969,1798.9151930935
1.27903454511099,1798.91883493424
1.27905320392342,1798.92247689458
1.27907186297203,1798.92611896265
1.27909052199457,1798.92976109456
1.27910918129403,1798.93340333028
1.2791278407453,1798.93704565739
1.27914650042636,1798.94068808595
1.27916516019064,1798.94433059456
1.27918382015173,1798.94797319728
1.27920248028219,1798.95161589237
1.27922114063703,1798.95525868825
1.27923980105164,1798.95890156034
1.2792584617835,1798.96254454496
1.27927712266221,1798.9661876218
1.27929578367353,1798.96983078484
1.27931444503032,1798.97347406676
1.27933310651313,1798.97711743879
1.27935176800779,1798.98076087742
1.27937042976739,1798.98440441851
1.27938909177474,1798.98804806599
1.27940775385618,1798.991691793
1.2794264162806,1798.99533563728
1.2794450787011,1798.99897955072
1.27946374131366,1799.00262355552
1.27948240411064,1799.00626765458
1.27950106716365,1799.00991185985
1.27951973033618,1799.01355615184
1.27953839371056,1799.01720054001
1.27955705727807,1799.02084502475
1.27957572103942,1799.02448960623
1.27959438498809,1799.02813428347
1.27961304909345,1799.03177905139
1.27963171335808,1799.03542390948
1.27965037770546,1799.03906884548
1.27966904233652,1799.04271388904
1.27968770713808,1799.0463590277
1.27970637207486,1799.05000425352
1.27972503725051,1799.05364958151
1.27974370248234,1799.05729498542
1.27976236792559,1799.06094048505
1.27978103366178,1799.06458609704
1.27979969964777,1799.06823181764
1.27981836562519,1799.07187760507
1.27983703184827,1799.07552349197
1.27985569812508,1799.07916945391
1.27987436465411,1799.0828155179
1.27989303121096,1799.08646165329
1.27991169815799,1799.09010791199
1.27993036541434,1799.0937542908
1.27994903275008,1799.09740075258
1.27996770033839,1799.10104731795
1.27998636787603,1799.10469394254
1.28000503577529,1799.10834068363
