Time_s,Distance_m
0.414003520512343,0.668699123880331
0.41401047669906,0.668722955157131
0.414017432336479,0.668746784979145
0.414024387383839,0.668770613206628
0.414031341807248,0.668794439723345
0.414038295592992,0.668818264482202
0.414045248732619,0.668842087454117
0.414052201377446,0.668865909157439
0.414059153426077,0.668889729244647
0.414066104926088,0.668913547878649
0.414073055954723,0.668937365324027
0.41408000635251,0.668961181034249
0.414086956127907,0.668984995038183
0.414093905329425,0.669008807501942
0.41410085401182,0.669032618613062
0.41410780190033,0.669056427429889
0.414114749313139,0.66908023504265
0.414121696135701,0.66910404105872
0.414128642320004,0.669127845313448
0.414135587977397,0.669151648188321
0.414142532998455,0.669175449308228
0.414149477512142,0.669199249115035
0.414156421479794,0.669223047476136
0.414163364875349,0.669246844302109
0.414170307645301,0.669270639409467
0.414177249762144,0.66929443270382
0.414184191402583,0.669318224790699
0.414191132327663,0.669342014850991
0.41419807286075,0.669365803992932
0.414205012761878,0.669389591393928
0.414211952079356,0.669413377219455
0.414218890731905,0.669437161190798
0.414225828811244,0.669460943622233
0.414232766384831,0.669484724744894
0.414239703297591,0.669508504027094
0.414246639654849,0.669532281829774
0.41425357559306,0.669556058620611
0.414260510843382,0.669579833477891
0.414267445521652,0.669603606798611
0.414274379708432,0.669627378858846
0.414281313237849,0.669651149089845
0.414288246124593,0.669674917541844
0.414295178466635,0.66969868455062
0.414302110176763,0.669722449817064
0.414309041393843,0.66974621381717
0.414315971993167,0.669769976123269
0.414322902082812,0.669793737105817
0.414329831499575,0.66981749620513
0.414336760294335,0.669841253595544
0.414343688654777,0.66986500992049
0.414350616398469,0.669888764554347
0.414357543634927,0.669912517872524
0.414364470154677,0.669936269156633
0.414371396149246,0.669960019063316
0.414378321610653,0.6699837675651
0.414385246419334,0.670007514251881
0.414392170699571,0.670031259549734
0.414399094521568,0.670055003699322
0.414406017667688,0.670078745954189
0.414412940209047,0.670102486558104
0.414419862078852,0.670126225281884
0.414426783478464,0.670149962815997
0.414433704271224,0.670173698691661
0.414440624595919,0.670197433384769
0.414447544438602,0.670221166847399
0.414454463517586,0.670244898113313
0.414461382175172,0.670268628356445
0.414468300191781,0.670292356823557
0.414475217622021,0.670316083701845
0.414482134582283,0.670339809390431
0.414489050847008,0.670363533115525
0.414495966469164,0.670387255058695
0.414502881530145,0.670410975499027
0.414509796131579,0.670434694785036
0.414516710029872,0.670458412081012
0.41452362347335,0.670482128238703
0.414530536366837,0.67050584293152
0.414537448555042,0.67052955562662
0.4145443602127,0.67055326692333
0.414551271314451,0.670576976734557
0.414558181821218,0.670600684926124
0.414565091761556,0.670624391595897
0.414572001087393,0.670648096578843
0.414578909888429,0.670671800182601
0.414585818106384,0.67069550220712
0.414592725790372,0.670719202820806
0.414599632929258,0.670742901985354
0.414606539578715,0.670766599891693
0.414613445602239,0.670790296071352
0.414620351048522,0.670813990691291
0.414627255945594,0.670837683847589
0.414634160176397,0.670861375138467
0.414641063822657,0.67088506484425
