FinalDrive,Grip_Fact,Time_75m_s,Reached75m,ErrorMessage
4.1,0.8,4.00048532648454,1,
4.2,0.8,3.95825368129602,1,
4.3,0.8,3.91842692658541,1,
4.4,0.8,3.88080498349708,1,
4.5,0.8,3.84532922472241,1,
4.6,0.8,3.81180627444,1,
4.7,0.8,3.78011929044379,1,
4.8,0.8,3.75012532140566,1,
4.9,0.8,3.72174081894949,1,
5,0.8,3.69485326785782,1,
5.1,0.8,3.66942595931399,1,
5.2,0.8,3.64533675357444,1,
5.3,0.8,3.62252745665287,1,
5.4,0.8,3.60091876148883,1,
5.5,0.8,3.58046892021861,1,
5.6,0.8,3.56111585787678,1,
5.7,0.8,3.54282900375685,1,
5.8,0.8,3.52551194753164,1,
5.9,0.8,3.50918437325543,1,
6,0.8,3.4937790507887,1,
6.1,0.8,3.47925606565529,1,
6.2,0.8,3.46557550266483,1,
6.3,0.8,3.45274614455527,1,
6.4,0.8,3.4406969038307,1,
6.5,0.8,3.42936469925845,1,
6.6,0.8,3.66190086678543,1,
6.7,0.8,3.67392602899948,1,
6.8,0.8,3.67119987592005,1,
6.9,0.8,3.67176008324875,1,
7,0.8,3.67172454713069,1,
7.1,0.8,3.67169434095723,1,
7.2,0.8,3.66597761238736,1,
7.3,0.8,3.66647276492038,1,
7.4,0.8,3.66698750104568,1,
7.5,0.8,3.67337040608393,1,
7.6,0.8,3.67466750597642,1,
7.7,0.8,3.67695141096137,1,
7.8,0.8,3.67905011144587,1,
7.9,0.8,3.68158972478495,1,
8,0.8,3.68453419066501,1,
8.1,0.8,3.68781519184946,1,
8.2,0.8,3.69154795479729,1,
8.3,0.8,3.69517945455818,1,
8.4,0.8,3.69894955610459,1,
8.5,0.8,3.70304701288897,1,
8.6,0.8,3.70759596226786,1,
8.7,0.8,3.71208811878176,1,
8.8,0.8,3.71732207796166,1,
8.9,0.8,3.7229542641341,1,
9,0.8,3.73288810441413,1,
9.1,0.8,3.73901097723753,1,
9.2,0.8,3.74525497782183,1,
9.3,0.8,3.7514365335758,1,
9.4,0.8,3.75767556529407,1,
9.5,0.8,3.76465770885873,1,
9.6,0.8,3.77150184726082,1,
9.7,0.8,3.77870428024241,1,
9.8,0.8,3.78584983703131,1,
9.9,0.8,3.79698247390474,1,
10,0.8,3.80572440799831,1,
10.1,0.8,3.81373500661889,1,
10.2,0.8,3.82191066843726,1,
10.3,0.8,3.83034709018271,1,
10.4,0.8,3.8390941547597,1,
10.5,0.8,3.84817378767998,1,
10.6,0.8,3.85739197220342,1,
10.7,0.8,3.86669191765188,1,
10.8,0.8,3.87614437115285,1,
10.9,0.8,3.8894470413625,1,
11,0.8,3.8992942243384,1,
11.1,0.8,3.90977438089248,1,
11.2,0.8,3.92040298830111,1,
11.3,0.8,3.9306922678835,1,
11.4,0.8,3.9431889331593,1,
11.5,0.8,3.95368041858671,1,
11.6,0.8,3.96458100319683,1,
11.7,0.8,3.97661872848111,1,
11.8,0.8,3.98819911034491,1,
11.9,0.8,3.99966310542061,1,
12,0.8,4.01122167325303,1,
12.1,0.8,4.023090647969,1,
12.2,0.8,4.03546322005059,1,
12.3,0.8,4.04776619431489,1,
12.4,0.8,4.06043354053053,1,
12.5,0.8,4.07650317765351,1,
2.5,0.9,5.10664505363294,1,
2.6,0.9,5.00682239711886,1,
2.7,0.9,4.91263046200878,1,
2.8,0.9,4.82364477154602,1,
2.9,0.9,4.73935579178272,1,
3,0.9,4.65940181207417,1,
3.1,0.9,4.58332902807853,1,
3.2,0.9,4.51099061013823,1,
3.3,0.9,4.44195551837575,1,
3.4,0.9,4.37600221974848,1,
3.5,0.9,4.31304351238414,1,
3.6,0.9,4.25314540567448,1,
3.7,0.9,4.19645708741262,1,
3.8,0.9,4.14288995524136,1,
3.9,0.9,4.09233524260825,1,
4,0.9,4.04467718176281,1,
4.1,0.9,3.99976369013802,1,
4.2,0.9,3.95738328837222,1,
4.3,0.9,3.9174442953764,1,
4.4,0.9,3.87975748928565,1,
4.5,0.9,3.84415020608418,1,
4.6,0.9,3.8105104827891,1,
4.7,0.9,3.77872404605722,1,
4.8,0.9,3.74858377842922,1,
4.9,0.9,3.72010390088897,1,
5,0.9,3.69311608525737,1,
5.1,0.9,3.66757655222108,1,
5.2,0.9,3.6433404851704,1,
5.3,0.9,3.62039758133859,1,
5.4,0.9,3.5986810755502,1,
