Time_s,Error
0.0237712244710047,-0.128458690858976
0.0237727603404479,-0.128457476070333
0.0237742961044099,-0.128456260928086
0.0237758317632851,-0.128455045432069
0.0237773673181044,-0.128453829581606
0.0237789027676541,-0.128452613377802
0.0237804381126327,-0.128451396820247
0.0237819733514587,-0.128450179910337
0.0237835084881945,-0.128448962644994
0.0237850435197611,-0.1284477450268
0.0237865784458565,-0.128446527056139
0.0237881132697618,-0.128445308730549
0.0237896479878989,-0.128444090053012
0.0237911826029005,-0.12844287102158
0.0237927171128884,-0.128441651637887
0.0237942515205682,-0.128440431899925
0.0237957858236101,-0.128439211809685
0.0237973200233469,-0.128437991366251
0.0237988541211029,-0.12843677056871
0.0238003881142281,-0.12843554941931
0.0238019220048892,-0.128434327916471
0.0238034557936572,-0.128433106059875
0.0238049894779871,-0.128431883851692
0.0238065230630078,-0.128430661287974
0.0238080565433364,-0.128429438373152
0.0238095899213471,-0.128428215105475
0.0238111231967573,-0.128426991485308
0.0238126563719921,-0.128425767510855
0.0238141894446535,-0.128424543184169
0.0238157224163693,-0.12842331850409
0.0238172552852855,-0.12842209347224
0.0238187880525792,-0.128420868087817
0.0238203207170831,-0.128419642351895
0.0238218532808351,-0.128418416262984
0.0238233857451807,-0.128417189820144
0.0238249181060894,-0.12841596302674
0.0238264503680116,-0.128414735879349
0.0238279825288148,-0.128413508379815
0.0238295145885017,-0.128412280528277
0.0238310465467204,-0.128411052325156
0.0238325784040171,-0.128409823770152
0.0238341101603545,-0.128408594863434
0.023835641817559,-0.128407365603674
0.0238371733741063,-0.128406135992233
0.0238387048313303,-0.128404906028178
0.0238402361870676,-0.128403675713384
0.0238417674448743,-0.128402445045132
0.0238432986013527,-0.12840121402629
0.0238448296595612,-0.128399982654537
0.023846360618927,-0.128398750930469
0.0238478914781903,-0.128397518855237
0.0238494222378538,-0.128396286428576
0.0238509528994406,-0.128395053649393
0.0238524834602462,-0.128393820520006
0.0238540139229256,-0.128392587038413
0.0238555442870221,-0.128391353205115
0.0238570745510874,-0.12839011902142
0.0238586047193537,-0.128388884484049
0.0238601347870625,-0.128387649596976
0.0238616647571286,-0.128386414357987
0.0238631946299781,-0.128385178766872
