Time_s,Acceleration_mps2
0.0517784126149408,5.61457026885826
0.0517809699876912,5.61496311810719
0.0517835275848959,5.61535597085883
0.0517860854051364,5.61574882692107
0.0517886434492139,5.61614168636191
0.0517912017192197,5.61653454946598
0.0517937602145443,5.61692741620192
0.051796318932071,5.61732028615165
0.0517988778741282,5.61771315954279
0.0518014370397024,5.61810603628205
0.0518039964280349,5.61849891625107
0.0518065560438056,5.61889180004053
0.0518091158824659,5.61928468715823
0.0518116759440671,5.61967757751875
0.0518142362301828,5.62007047131158
0.0518167967418939,5.62046336871105
0.0518193574751378,5.62085626921355
0.0518219184355332,5.62124917346238
0.0518244796203792,5.62164208121801
0.0518270410310214,5.62203499261003
0.0518296026653074,5.62242790737714
0.0518321645225636,5.62282082538141
0.0518347266059668,5.62321374701275
0.0518372889129109,5.62360667199849
0.0518398514427803,5.62399960020621
0.051842414199505,5.62439253212538
0.0518449771810641,5.62478546757774
0.0518475403873372,5.62517840651211
0.0518501038192364,5.62557134903623
0.0518526674756613,5.6259642950231
0.051855231356102,5.62635724438065
0.0518577954596792,5.62675019697534
0.0518603597915646,5.62714315345866
0.0518629243493529,5.62753611363127
0.0518654891313427,5.6279290772305
0.0518680541360783,5.62832204401594
0.0518706193679946,5.62871501452329
0.0518731848246845,5.62910798853296
0.0518757505063058,5.62950096602292
0.0518783164154571,5.62989394732705
0.0518808825471732,5.63028693185369
0.0518834489065944,5.63067992016562
0.0518860154899548,5.63107291187055
0.0518885822989975,5.63146590712276
0.0518911493341116,5.63185890599933
0.051893716594258,5.63225190837601
0.0518962840788958,5.63264491415729
0.0518988517919361,5.63303792383541
0.0519014197289807,5.63343093692211
0.0519039878934964,5.6338239537791
0.0519065562805294,5.63421697382256
0.0519091248972508,5.6346099978818
0.0519116937347066,5.63500302493526
0.0519142628011629,5.63539605587553
0.0519168320926818,5.63578909034881
0.0519194016087809,5.63618212822486
0.0519219713553476,5.6365751702473
0.051924541326022,5.63696821571734
0.0519271115216537,5.63736126461576
0.0519296819456067,5.63775431737718
0.0519322525943462,5.63814737361666
0.0519348234691944,5.63854043343444
0.0519373945717251,5.63893349705248
0.0519399658983898,5.63932656404544
0.0519425374511375,5.63971963458844
0.0519451092317315,5.64011270894212
0.051947681239676,5.64050578708655
0.0519502534735518,5.64089886882979
0.0519528259342214,5.64129195424706
0.051955398620383,5.64168504318017
0.0519579715343546,5.64207813590089
0.0519605446735374,5.64247123211754
0.0519631180388102,5.64286433188963
0.0519656916320517,5.64325743547149
0.0519682654507384,5.64365054257794
0.0519708394971925,5.64404365345766
0.0519734137708274,5.64443676807721
0.0519759882687913,5.64482988605613
0.0519785629955997,5.64522300791228
0.0519811379490235,5.64561613344743
0.0519837131302007,5.64600926277097
0.0519862885367457,5.64640239558947
0.051988864171795,5.6467955322564
0.0519914400337876,5.64718867263051
0.0519940161239164,5.64758181683893
0.051996592442491,5.64797496494252
0.0519991689852714,5.64836811639716
0.0520017457564546,5.64876127164897
0.0520043227527584,5.64915443035042
0.0520068999794283,5.6495475931196
0.052009477435001,5.64994075987596
0.0520120551149741,5.65033393001478
0.0520146330227996,5.65072710387366
0.052017211158768,5.65112028155084
0.0520197895221127,5.65151346296202
0.0520223681136546,5.65190664819634
0.0520249469329086,5.65229983720458
0.0520275259788711,5.65269302984476
