Time_s,Target_Torque_ATW_Nm,From_Tractive_Force_ATW_Nm,Max_Available_ATW_Nm
0.034744236569155,306.172535267223,82.6051018648105,560.850282081074
0.0347458468452643,306.187008536504,82.6204263373661,560.850324738863
0.0347474571440024,306.201482015408,82.6357518192543,560.850367404646
0.0347490674658672,306.215955708414,82.6510783159379,560.850410078437
0.0347506778089403,306.230429598278,82.6664058100506,560.850452760186
0.0347522881743095,306.24490369478,82.6817343104536,560.850495449923
0.0347538985611843,306.259377990815,82.697063810248,560.850538147626
0.034755508969957,306.273852489911,82.7123943124994,560.850580853308
0.034757119400978,306.288327195217,82.7277258204088,560.850623566979
0.0347587298539056,306.302802103664,82.7430583308722,560.850666288629
0.0347603403298455,306.31727722519,82.7583918536532,560.850709018288
0.0347619508271062,306.331752544595,82.7737263736791,560.850751755913
0.0347635613465553,306.346228069674,82.7890618979232,560.850794501527
0.0347651718878688,306.36070379752,82.8043984236437,560.850837255122
0.0347667824524271,306.375179740539,82.8197359631298,560.850880016736
0.0347683930380492,306.389655879129,82.8350744969731,560.850922786311
0.0347700036455304,306.40413222044,82.8504140312681,560.850965563868
0.0347716142745356,306.418608761461,82.8657545631259,560.851008349401
0.0347732249273989,306.433085523172,82.8810961135325,560.85105114297
0.0347748355997209,306.447562466031,82.8964386432953,560.851093944461
0.0347764462961156,306.462039631512,82.9117821923132,560.851136753996
0.0347780570114283,306.476516973283,82.9271267154912,560.851179571438
0.034779667752281,306.490994550865,82.9424722707385,560.851222396966
0.0347812785149796,306.505472331056,82.957818827209,560.85126523048
0.0347828892989417,306.519950308622,82.9731663778211,560.851308071967
0.034784500104079,306.534428482772,82.9885149212563,560.851350921424
0.0347861109320205,306.548906868146,83.0038644721591,560.851393778895
0.0347877217828167,306.563385465202,83.0192150315989,560.851436644383
0.0347893326543875,306.577864255241,83.0345665804929,560.851479517832
0.0347909435489091,306.592343257828,83.0499191375553,560.851522399301
0.0347925544649345,306.606822459956,83.0652726904044,560.851565288753
0.0347941654046701,306.621301881458,83.0806272583738,560.851608186247
0.0347957763657602,306.635781501161,83.0959828208145,560.85165109172
0.0347973873496679,306.650261332217,83.1113393898483,560.851694005213
0.0347989983543701,306.664741356443,83.1266969474919,560.851736926671
0.0348006093812381,306.679221586165,83.1420555051762,560.851779856133
0.0348022204295782,306.693702015151,83.1574150570176,560.851822793579
0.034803831501251,306.708182660122,83.1727756195394,560.851865739062
0.034805442595833,306.722663517276,83.1881371895801,560.851908692569
0.0348070537123308,306.737144577682,83.2034997577445,560.851951654076
0.0348086648492442,306.75162582786,83.2188633096972,560.851994623541
0.0348102760074022,306.76610727526,83.2342278521162,560.85203760099
0.0348118871899295,306.780588947969,83.2495934137323,560.852080586504
0.0348134983929986,306.795070811586,83.2649599609382,560.852123579984
0.0348151096201503,306.809552897938,83.2803275241537,560.852166581524
0.034816720867909,306.824035175784,83.2956960730754,560.852209591031
0.0348183321387409,306.838517667295,83.3110656284877,560.852252608573
0.0348199434320769,306.853000367356,83.3264361861279,560.852295634135
0.034821554747261,306.86748327007,83.3418077396234,560.8523386677
0.0348231660834242,306.881966367629,83.3571802805565,560.852381709245
0.0348247774427998,306.896449680106,83.3725538287353,560.85242475883
0.0348263888244958,306.910933199486,83.387928376895,560.852467816433
0.0348280002281543,306.925416922552,83.4033039212291,560.852510882045
0.0348296116547438,306.939900858011,83.4186804702312,560.852553955692
0.0348312231028742,306.954384993369,83.4340580114945,560.852597037337
0.0348328345738851,306.968869340668,83.4494365564532,560.852640127017
